trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,rep,response_mode,model,temperature,seed,letter,chose_gamble,raw,discarded,latency_s,ts_utc
1135,18,mixed,41,41,61,0.58,0.8629,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.641,2026-07-04T21:29:45+00:00
756,12,gain,0,164,541,0.38,1.2535,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.514,2026-07-04T21:29:45+00:00
190,3,neutral,0,46,158,0.33,1.1335,2,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.748,2026-07-04T21:29:46+00:00
1354,22,gain,0,81,163,0.72,1.4489,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.617,2026-07-04T21:29:47+00:00
850,14,neutral,0,81,201,0.68,1.6874,2,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.586,2026-07-04T21:29:48+00:00
600,10,neutral,0,111,278,0.58,1.4526,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.576,2026-07-04T21:29:48+00:00
1305,21,mixed,106,106,206,0.73,1.4187,1,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.757,2026-07-04T21:29:49+00:00
1836,30,gain,0,149,447,0.26,0.78,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.708,2026-07-04T21:29:50+00:00
686,11,gain,0,54,68,0.81,1.02,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.595,2026-07-04T21:29:50+00:00
554,9,neutral,0,49,153,0.26,0.8118,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.634,2026-07-04T21:29:51+00:00
2347,39,neutral,0,178,567,0.32,1.0193,1,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.692,2026-07-04T21:29:52+00:00
1062,17,mixed,117,117,362,0.42,1.2995,0,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.666,2026-07-04T21:29:53+00:00
1701,28,gain,0,132,181,0.76,1.0421,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.525,2026-07-04T21:29:53+00:00
731,12,neutral,0,164,541,0.38,1.2535,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.662,2026-07-04T21:29:54+00:00
401,6,mixed,94,94,101,0.71,0.7629,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.593,2026-07-04T21:29:55+00:00
290,4,mixed,29,29,71,0.55,1.3466,2,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.695,2026-07-04T21:29:55+00:00
672,11,neutral,0,54,68,0.81,1.02,3,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,1.346,2026-07-04T21:29:57+00:00
96,1,gain,0,58,116,0.66,1.32,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,5.189,2026-07-04T21:30:02+00:00
2116,35,neutral,0,91,133,0.68,0.9938,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.555,2026-07-04T21:30:03+00:00
2036,33,mixed,142,142,446,0.53,1.6646,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.754,2026-07-04T21:30:03+00:00
651,10,mixed,111,111,278,0.58,1.4526,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.74,2026-07-04T21:30:04+00:00
762,12,mixed,164,164,541,0.38,1.2535,0,False,0,text,claude-haiku-4-5-20251001,1.0,42,B,0,B,0,0.848,2026-07-04T21:30:05+00:00
521,8,mixed,62,62,263,0.33,1.3998,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.603,2026-07-04T21:30:06+00:00
1397,23,neutral,0,91,626,0.23,1.5822,4,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.971,2026-07-04T21:30:07+00:00
1360,22,mixed,81,81,163,0.72,1.4489,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.025,2026-07-04T21:30:08+00:00
776,12,mixed,164,164,541,0.38,1.2535,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.014,2026-07-04T21:30:09+00:00
2063,34,gain,0,52,96,0.63,1.1631,0,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,1.587,2026-07-04T21:30:10+00:00
82,1,gain,0,58,116,0.66,1.32,0,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,1.4,2026-07-04T21:30:12+00:00
2115,35,neutral,0,91,133,0.68,0.9938,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.54,2026-07-04T21:30:13+00:00
273,4,gain,0,29,71,0.55,1.3466,3,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.383,2026-07-04T21:30:14+00:00
537,8,mixed,62,62,263,0.33,1.3998,4,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.537,2026-07-04T21:30:15+00:00
1826,30,gain,0,149,447,0.26,0.78,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.56,2026-07-04T21:30:15+00:00
949,15,mixed,82,82,113,0.74,1.0198,2,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.587,2026-07-04T21:30:16+00:00
580,9,mixed,49,49,153,0.26,0.8118,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.611,2026-07-04T21:30:16+00:00
1540,25,mixed,124,124,207,0.76,1.2687,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.681,2026-07-04T21:30:18+00:00
2363,39,gain,0,178,567,0.32,1.0193,0,False,1,text,claude-haiku-4-5-20251001,1.0,42,B,0,B,0,0.451,2026-07-04T21:30:19+00:00
979,16,neutral,0,139,234,0.6,1.0101,4,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.568,2026-07-04T21:30:19+00:00
797,13,neutral,0,72,88,0.64,0.7822,4,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.608,2026-07-04T21:30:20+00:00
455,7,gain,0,63,98,0.64,0.9956,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.576,2026-07-04T21:30:21+00:00
317,5,neutral,0,162,381,0.46,1.0819,4,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.776,2026-07-04T21:30:21+00:00
964,16,neutral,0,139,234,0.6,1.0101,1,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.536,2026-07-04T21:30:22+00:00
786,13,neutral,0,72,88,0.64,0.7822,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.574,2026-07-04T21:30:23+00:00
1931,32,neutral,0,131,236,0.57,1.0269,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.857,2026-07-04T21:30:24+00:00
1875,31,neutral,0,51,151,0.29,0.8586,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.568,2026-07-04T21:30:24+00:00
478,7,mixed,63,63,98,0.64,0.9956,4,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.566,2026-07-04T21:30:25+00:00
691,11,gain,0,54,68,0.81,1.02,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.602,2026-07-04T21:30:25+00:00
173,2,mixed,162,162,661,0.26,1.0609,3,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.606,2026-07-04T21:30:26+00:00
201,3,gain,0,46,158,0.33,1.1335,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.685,2026-07-04T21:30:27+00:00
1731,28,mixed,132,132,181,0.76,1.0421,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.749,2026-07-04T21:30:28+00:00
2311,38,gain,0,183,609,0.38,1.2646,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.521,2026-07-04T21:30:28+00:00
689,11,gain,0,54,68,0.81,1.02,2,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.581,2026-07-04T21:30:29+00:00
639,10,gain,0,111,278,0.58,1.4526,4,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.554,2026-07-04T21:30:30+00:00
334,5,gain,0,162,381,0.46,1.0819,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.627,2026-07-04T21:30:30+00:00
2080,34,mixed,52,52,96,0.63,1.1631,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.555,2026-07-04T21:30:31+00:00
1268,21,neutral,0,106,206,0.73,1.4187,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.586,2026-07-04T21:30:31+00:00
615,10,neutral,0,111,278,0.58,1.4526,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.576,2026-07-04T21:30:32+00:00
1808,30,neutral,0,149,447,0.26,0.78,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.083,2026-07-04T21:30:33+00:00
2060,34,gain,0,52,96,0.63,1.1631,0,True,0,text,claude-haiku-4-5-20251001,1.0,42,B,1,B,0,0.484,2026-07-04T21:30:34+00:00
2194,36,gain,0,98,227,0.47,1.0887,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.847,2026-07-04T21:30:35+00:00
1161,19,gain,0,64,122,0.49,0.9341,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.178,2026-07-04T21:30:36+00:00
382,6,gain,0,94,101,0.71,0.7629,0,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.589,2026-07-04T21:30:37+00:00
2210,36,mixed,98,98,227,0.47,1.0887,2,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.586,2026-07-04T21:30:37+00:00
1116,18,gain,0,41,61,0.58,0.8629,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.614,2026-07-04T21:30:38+00:00
548,9,neutral,0,49,153,0.26,0.8118,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.534,2026-07-04T21:30:38+00:00
295,4,mixed,29,29,71,0.55,1.3466,3,False,1,text,claude-haiku-4-5-20251001,1.0,42,B,0,B,0,0.701,2026-07-04T21:30:39+00:00
943,15,mixed,82,82,113,0.74,1.0198,0,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.556,2026-07-04T21:30:40+00:00
2395,39,mixed,178,178,567,0.32,1.0193,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.584,2026-07-04T21:30:40+00:00
730,12,neutral,0,164,541,0.38,1.2535,2,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,3.364,2026-07-04T21:30:44+00:00
945,15,mixed,82,82,113,0.74,1.0198,1,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.089,2026-07-04T21:30:45+00:00
1302,21,mixed,106,106,206,0.73,1.4187,0,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,2.741,2026-07-04T21:30:48+00:00
540,9,neutral,0,49,153,0.26,0.8118,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.518,2026-07-04T21:30:48+00:00
2107,35,neutral,0,91,133,0.68,0.9938,1,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.579,2026-07-04T21:30:49+00:00
354,5,mixed,162,162,381,0.46,1.0819,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.572,2026-07-04T21:30:50+00:00
1471,24,gain,0,168,214,0.76,0.9681,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.521,2026-07-04T21:30:50+00:00
1818,30,neutral,0,149,447,0.26,0.78,4,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,1.121,2026-07-04T21:30:51+00:00
330,5,gain,0,162,381,0.46,1.0819,2,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.669,2026-07-04T21:30:52+00:00
265,4,gain,0,29,71,0.55,1.3466,1,True,1,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.559,2026-07-04T21:30:53+00:00
974,16,neutral,0,139,234,0.6,1.0101,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.55,2026-07-04T21:30:53+00:00
1945,32,gain,0,131,236,0.57,1.0269,1,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.549,2026-07-04T21:30:54+00:00
216,3,gain,0,46,158,0.33,1.1335,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.535,2026-07-04T21:30:54+00:00
1159,19,neutral,0,64,122,0.49,0.9341,4,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,1.015,2026-07-04T21:30:56+00:00
1127,18,mixed,41,41,61,0.58,0.8629,1,False,1,text,claude-haiku-4-5-20251001,1.0,42,B,0,B,0,0.48,2026-07-04T21:30:56+00:00
1448,24,neutral,0,168,214,0.76,0.9681,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.814,2026-07-04T21:30:57+00:00
955,15,mixed,82,82,113,0.74,1.0198,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.897,2026-07-04T21:30:58+00:00
135,2,neutral,0,162,661,0.26,1.0609,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.86,2026-07-04T21:30:59+00:00
333,5,gain,0,162,381,0.46,1.0819,3,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.344,2026-07-04T21:31:00+00:00
606,10,neutral,0,111,278,0.58,1.4526,1,False,0,text,claude-haiku-4-5-20251001,1.0,42,B,0,B,0,0.492,2026-07-04T21:31:01+00:00
922,15,gain,0,82,113,0.74,1.0198,0,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.695,2026-07-04T21:31:01+00:00
1322,22,neutral,0,81,163,0.72,1.4489,0,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.643,2026-07-04T21:31:02+00:00
971,16,neutral,0,139,234,0.6,1.0101,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.588,2026-07-04T21:31:03+00:00
2320,38,mixed,183,183,609,0.38,1.2646,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.907,2026-07-04T21:31:04+00:00
434,7,neutral,0,63,98,0.64,0.9956,3,False,0,text,claude-haiku-4-5-20251001,1.0,42,A,1,A,0,0.416,2026-07-04T21:31:04+00:00
64,1,neutral,0,58,116,0.66,1.32,1,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.581,2026-07-04T21:31:05+00:00
1531,25,gain,0,124,207,0.76,1.2687,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.543,2026-07-04T21:31:05+00:00
2167,36,neutral,0,98,227,0.47,1.0887,1,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.65,2026-07-04T21:31:06+00:00
303,5,neutral,0,162,381,0.46,1.0819,0,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.564,2026-07-04T21:31:07+00:00
184,3,neutral,0,46,158,0.33,1.1335,1,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.758,2026-07-04T21:31:08+00:00
1321,22,neutral,0,81,163,0.72,1.4489,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.558,2026-07-04T21:31:08+00:00
443,7,gain,0,63,98,0.64,0.9956,0,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.545,2026-07-04T21:31:09+00:00
1754,29,neutral,0,79,81,0.83,0.851,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.958,2026-07-04T21:31:10+00:00
148,2,gain,0,162,661,0.26,1.0609,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.555,2026-07-04T21:31:10+00:00
324,5,gain,0,162,381,0.46,1.0819,1,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.891,2026-07-04T21:31:11+00:00
1792,29,mixed,79,79,81,0.83,0.851,3,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.567,2026-07-04T21:31:12+00:00
675,11,neutral,0,54,68,0.81,1.02,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.645,2026-07-04T21:31:13+00:00
1569,26,neutral,0,59,151,0.36,0.9214,2,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.682,2026-07-04T21:31:13+00:00
563,9,gain,0,49,153,0.26,0.8118,0,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.56,2026-07-04T21:31:14+00:00
666,11,neutral,0,54,68,0.81,1.02,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.765,2026-07-04T21:31:15+00:00
1261,21,neutral,0,106,206,0.73,1.4187,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.572,2026-07-04T21:31:16+00:00
4,0,neutral,0,186,984,0.26,1.3755,1,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.546,2026-07-04T21:31:16+00:00
628,10,gain,0,111,278,0.58,1.4526,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.759,2026-07-04T21:31:17+00:00
2453,26,dominant,0,59,107,1.0,1.8136,4,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.537,2026-07-04T21:31:18+00:00
1986,33,neutral,0,142,446,0.53,1.6646,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.588,2026-07-04T21:31:18+00:00
211,3,gain,0,46,158,0.33,1.1335,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.56,2026-07-04T21:31:19+00:00
1696,28,neutral,0,132,181,0.76,1.0421,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.555,2026-07-04T21:31:19+00:00
2201,36,mixed,98,98,227,0.47,1.0887,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.681,2026-07-04T21:31:20+00:00
1348,22,gain,0,81,163,0.72,1.4489,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.657,2026-07-04T21:31:21+00:00
1658,27,gain,0,166,433,0.53,1.3825,4,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.721,2026-07-04T21:31:22+00:00
1580,26,gain,0,59,151,0.36,0.9214,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.709,2026-07-04T21:31:22+00:00
695,11,gain,0,54,68,0.81,1.02,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,1.272,2026-07-04T21:31:24+00:00
240,4,neutral,0,29,71,0.55,1.3466,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.599,2026-07-04T21:31:24+00:00
1769,29,gain,0,79,81,0.83,0.851,2,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.566,2026-07-04T21:31:25+00:00
1314,21,mixed,106,106,206,0.73,1.4187,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.618,2026-07-04T21:31:26+00:00
1339,22,neutral,0,81,163,0.72,1.4489,4,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.528,2026-07-04T21:31:26+00:00
1761,29,gain,0,79,81,0.83,0.851,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.578,2026-07-04T21:31:27+00:00
2004,33,gain,0,142,446,0.53,1.6646,1,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,1.266,2026-07-04T21:31:28+00:00
2090,34,mixed,52,52,96,0.63,1.1631,2,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.525,2026-07-04T21:31:29+00:00
871,14,gain,0,81,201,0.68,1.6874,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.62,2026-07-04T21:31:29+00:00
1548,25,mixed,124,124,207,0.76,1.2687,2,True,0,text,claude-haiku-4-5-20251001,1.0,42,A,0,A,0,0.477,2026-07-04T21:31:30+00:00
1129,18,mixed,41,41,61,0.58,0.8629,2,True,1,text,claude-haiku-4-5-20251001,1.0,42,A,0,A,0,1.748,2026-07-04T21:31:32+00:00
2248,37,gain,0,151,252,0.68,1.1348,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.687,2026-07-04T21:31:33+00:00
1553,25,mixed,124,124,207,0.76,1.2687,3,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.563,2026-07-04T21:31:33+00:00
1794,29,mixed,79,79,81,0.83,0.851,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.746,2026-07-04T21:31:34+00:00
861,14,gain,0,81,201,0.68,1.6874,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.685,2026-07-04T21:31:35+00:00
873,14,gain,0,81,201,0.68,1.6874,3,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.765,2026-07-04T21:31:35+00:00
209,3,gain,0,46,158,0.33,1.1335,2,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.668,2026-07-04T21:31:36+00:00
1409,23,gain,0,91,626,0.23,1.5822,2,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.764,2026-07-04T21:31:37+00:00
