instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,induce,p_gamble,ab_mass,excluded,note
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.9531,0.93618,0,massA=0.892 massB=0.0439
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.38306,0.93241,0,massA=0.357 massB=0.575
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.28775,0.70423,0,massA=0.203 massB=0.502
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.23373,0.76545,0,massA=0.587 massB=0.179
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.55253,0.90586,0,massA=0.501 massB=0.405
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.86794,0.88865,0,massA=0.117 massB=0.771
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.66889,0.90986,0,massA=0.301 massB=0.609
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.65666,0.93508,0,massA=0.321 massB=0.614
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.25985,0.68708,0,massA=0.509 massB=0.179
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.89181,0.97531,0,massA=0.106 massB=0.87
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.52341,0.91358,0,massA=0.478 massB=0.435
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.39046,0.92403,0,massA=0.361 massB=0.563
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.37386,0.92264,0,massA=0.345 massB=0.578
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.56217,0.93204,0,massA=0.524 massB=0.408
p1,236,23,risk,0,91,626,0.23,1.5822,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.79944,0.97435,0,massA=0.195 massB=0.779
p1,206,20,risk,0,186,266,0.63,0.901,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.73259,0.96067,0,massA=0.257 massB=0.704
p1,68,6,risk,0,94,101,0.71,0.7629,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.62246,0.74256,0,massA=0.28 massB=0.462
p1,337,33,risk,0,142,446,0.53,1.6646,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.40733,0.93512,0,massA=0.381 massB=0.554
p1,44,4,risk,0,29,71,0.55,1.3466,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.59079,0.94134,0,massA=0.385 massB=0.556
p1,188,18,risk,0,41,61,0.58,0.8629,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.62796,0.7097,0,massA=0.264 massB=0.446
p1,354,35,risk,0,91,133,0.68,0.9938,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.82783,0.93248,0,massA=0.161 massB=0.772
p1,210,21,risk,0,106,206,0.73,1.4187,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.7326,0.88336,0,massA=0.236 massB=0.647
p1,60,6,risk,0,94,101,0.71,0.7629,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.81524,0.88819,0,massA=0.164 massB=0.724
p1,70,7,risk,0,63,98,0.64,0.9956,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.72643,0.88374,0,massA=0.242 massB=0.642
p1,273,27,risk,0,166,433,0.53,1.3825,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.62973,0.66735,0,massA=0.42 massB=0.247
p1,174,17,risk,0,117,362,0.42,1.2995,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.5889,0.92675,0,massA=0.381 massB=0.546
p1,100,10,risk,0,111,278,0.58,1.4526,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.69926,0.86216,0,massA=0.259 massB=0.603
p1,176,17,risk,0,117,362,0.42,1.2995,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.54287,0.94985,0,massA=0.434 massB=0.516
p1,272,27,risk,0,166,433,0.53,1.3825,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.32255,0.71471,0,massA=0.484 massB=0.231
p1,149,14,risk,0,81,201,0.68,1.6874,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.29583,0.69146,0,massA=0.205 massB=0.487
p1,294,29,risk,0,79,81,0.83,0.851,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.71224,0.92381,0,massA=0.266 massB=0.658
p1,385,38,risk,0,183,609,0.38,1.2646,2,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.78922,0.90829,0,massA=0.717 massB=0.191
p1,64,6,risk,0,94,101,0.71,0.7629,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.77595,0.92499,0,massA=0.207 massB=0.718
p1,241,24,risk,0,168,214,0.76,0.9681,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.54866,0.92265,0,massA=0.506 massB=0.416
p1,37,3,risk,0,46,158,0.33,1.1335,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.31573,0.94271,0,massA=0.298 massB=0.645
p1,198,19,risk,0,64,122,0.49,0.9341,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.34159,0.6395,0,massA=0.421 massB=0.218
p1,216,21,risk,0,106,206,0.73,1.4187,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.72487,0.96452,0,massA=0.265 massB=0.699
p1,360,36,risk,0,98,227,0.47,1.0887,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.66193,0.87763,0,massA=0.297 massB=0.581
p1,254,25,risk,0,124,207,0.76,1.2687,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.74614,0.92553,0,massA=0.235 massB=0.691
p1,258,25,risk,0,124,207,0.76,1.2687,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.49219,0.66709,0,massA=0.339 massB=0.328
p1,377,37,risk,0,151,252,0.68,1.1348,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.72017,0.9274,0,massA=0.668 massB=0.26
p1,120,12,risk,0,164,541,0.38,1.2535,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.69099,0.86994,0,massA=0.269 massB=0.601
p1,389,38,risk,0,183,609,0.38,1.2646,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.27982,0.73842,0,massA=0.207 massB=0.532
p1,281,28,risk,0,132,181,0.76,1.0421,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.58319,0.92091,0,massA=0.537 massB=0.384
p1,260,26,risk,0,59,151,0.36,0.9214,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.68089,0.88973,0,massA=0.284 massB=0.606
p1,146,14,risk,0,81,201,0.68,1.6874,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.83114,0.97117,0,massA=0.164 massB=0.807
p1,179,17,risk,0,117,362,0.42,1.2995,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.26284,0.69803,0,massA=0.183 massB=0.515
p1,271,27,risk,0,166,433,0.53,1.3825,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.52146,0.89318,0,massA=0.466 massB=0.427
p1,264,26,risk,0,59,151,0.36,0.9214,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.65313,0.94167,0,massA=0.327 massB=0.615
p1,290,29,risk,0,79,81,0.83,0.851,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.73867,0.8915,0,massA=0.233 massB=0.659
p1,343,34,risk,0,52,96,0.63,1.1631,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.48044,0.65547,0,massA=0.315 massB=0.341
p1,286,28,risk,0,132,181,0.76,1.0421,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.86431,0.97527,0,massA=0.132 massB=0.843
p1,51,5,risk,0,162,381,0.46,1.0819,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.53703,0.90815,0,massA=0.488 massB=0.42
p1,252,25,risk,0,124,207,0.76,1.2687,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.2705,0.70055,0,massA=0.511 massB=0.189
p1,107,10,risk,0,111,278,0.58,1.4526,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.44552,0.93593,0,massA=0.417 massB=0.519
p1,173,17,risk,0,117,362,0.42,1.2995,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.4282,0.65774,0,massA=0.282 massB=0.376
p1,382,38,risk,0,183,609,0.38,1.2646,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.20184,0.69414,0,massA=0.554 massB=0.14
p1,59,5,risk,0,162,381,0.46,1.0819,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.30735,0.67529,0,massA=0.208 massB=0.468
p1,330,33,risk,0,142,446,0.53,1.6646,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.66889,0.87276,0,massA=0.289 massB=0.584
p1,317,31,risk,0,51,151,0.29,0.8586,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.45132,0.93004,0,massA=0.42 massB=0.51
p1,99,9,risk,0,49,153,0.26,0.8118,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.19682,0.72098,0,massA=0.142 massB=0.579
p1,308,30,risk,0,149,447,0.26,0.78,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.30405,0.6309,0,massA=0.439 massB=0.192
p1,54,5,risk,0,162,381,0.46,1.0819,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.66542,0.92039,0,massA=0.308 massB=0.612
p1,350,35,risk,0,91,133,0.68,0.9938,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.83762,0.89457,0,massA=0.145 massB=0.749
p1,194,19,risk,0,64,122,0.49,0.9341,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.57369,0.91762,0,massA=0.391 massB=0.526
p1,39,3,risk,0,46,158,0.33,1.1335,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.2351,0.7127,0,massA=0.168 massB=0.545
p1,230,23,risk,0,91,626,0.23,1.5822,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.6549,0.89536,0,massA=0.309 massB=0.586
p1,53,5,risk,0,162,381,0.46,1.0819,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.54282,0.67629,0,massA=0.367 massB=0.309
p1,250,25,risk,0,124,207,0.76,1.2687,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.80807,0.88617,0,massA=0.17 massB=0.716
p1,90,9,risk,0,49,153,0.26,0.8118,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.7009,0.89503,0,massA=0.268 massB=0.627
p1,48,4,risk,0,29,71,0.55,1.3466,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.34335,0.60384,0,massA=0.397 massB=0.207
p1,251,25,risk,0,124,207,0.76,1.2687,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.52146,0.92044,0,massA=0.48 massB=0.44
p1,102,10,risk,0,111,278,0.58,1.4526,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.16134,0.67373,0,massA=0.565 massB=0.109
p1,328,32,risk,0,131,236,0.57,1.0269,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.49805,0.70806,0,massA=0.355 massB=0.353
p1,109,10,risk,0,111,278,0.58,1.4526,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.27982,0.66687,0,massA=0.187 massB=0.48
p1,261,26,risk,0,59,151,0.36,0.9214,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.33111,0.92119,0,massA=0.305 massB=0.616
p1,220,22,risk,0,81,163,0.72,1.4489,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.78531,0.89269,0,massA=0.192 massB=0.701
p1,323,32,risk,0,131,236,0.57,1.0269,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.49606,0.6492,0,massA=0.322 massB=0.327
p1,374,37,risk,0,151,252,0.68,1.1348,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.71224,0.91806,0,massA=0.264 massB=0.654
p1,284,28,risk,0,132,181,0.76,1.0421,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.82333,0.93068,0,massA=0.164 massB=0.766
p1,10,1,risk,0,58,116,0.66,1.32,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.73106,0.88568,0,massA=0.238 massB=0.647
p1,224,22,risk,0,81,163,0.72,1.4489,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.79182,0.91793,0,massA=0.191 massB=0.727
p1,292,29,risk,0,79,81,0.83,0.851,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.22272,0.75672,0,massA=0.588 massB=0.169
p1,235,23,risk,0,91,626,0.23,1.5822,2,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.76767,0.89043,0,massA=0.684 massB=0.207
p1,182,18,risk,0,41,61,0.58,0.8629,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.48245,0.78484,0,massA=0.406 massB=0.379
p1,299,29,risk,0,79,81,0.83,0.851,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.42059,0.68416,0,massA=0.288 massB=0.396
p1,196,19,risk,0,64,122,0.49,0.9341,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.67061,0.96779,0,massA=0.319 massB=0.649
p1,291,29,risk,0,79,81,0.83,0.851,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.64601,0.91067,0,massA=0.588 massB=0.322
p1,353,35,risk,0,91,133,0.68,0.9938,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.49801,0.68583,0,massA=0.342 massB=0.344
p1,166,16,risk,0,139,234,0.6,1.0101,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.69926,0.96501,0,massA=0.29 massB=0.675
p1,104,10,risk,0,111,278,0.58,1.4526,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.6316,0.92017,0,massA=0.339 massB=0.581
p1,380,38,risk,0,183,609,0.38,1.2646,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.56795,0.88145,0,massA=0.381 massB=0.501
p1,27,2,risk,0,162,661,0.26,1.0609,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.39981,0.93204,0,massA=0.373 massB=0.559
p1,114,11,risk,0,54,68,0.81,1.02,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.67748,0.922,0,massA=0.297 massB=0.625
p1,336,33,risk,0,142,446,0.53,1.6646,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.71063,0.95651,0,massA=0.277 massB=0.68
p1,138,13,risk,0,72,88,0.64,0.7822,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.4552,0.6831,0,massA=0.372 massB=0.311
p1,115,11,risk,0,54,68,0.81,1.02,2,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.90796,0.9322,0,massA=0.846 massB=0.0858
p1,26,2,risk,0,162,661,0.26,1.0609,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.54093,0.95212,0,massA=0.437 massB=0.515
p1,262,26,risk,0,59,151,0.36,0.9214,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.43017,0.77622,0,massA=0.442 massB=0.334
p1,52,5,risk,0,162,381,0.46,1.0819,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.13208,0.68345,0,massA=0.593 massB=0.0903
p1,384,38,risk,0,183,609,0.38,1.2646,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.5889,0.93065,0,massA=0.383 massB=0.548
p1,201,20,risk,0,186,266,0.63,0.901,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.50975,0.91603,0,massA=0.467 massB=0.449
p1,209,20,risk,0,186,266,0.63,0.901,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.30404,0.73094,0,massA=0.222 massB=0.509
p1,200,20,risk,0,186,266,0.63,0.901,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.78399,0.88237,0,massA=0.191 massB=0.692
p1,2,0,risk,0,186,984,0.26,1.3755,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.1184,0.67697,0,massA=0.597 massB=0.0802
p1,74,7,risk,0,63,98,0.64,0.9956,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.6243,0.93172,0,massA=0.35 massB=0.582
p1,296,29,risk,0,79,81,0.83,0.851,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.69761,0.96163,0,massA=0.291 massB=0.671
p1,57,5,risk,0,162,381,0.46,1.0819,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.54092,0.93596,0,massA=0.506 massB=0.43
p1,21,2,risk,0,162,661,0.26,1.0609,0,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.48632,0.91578,0,massA=0.445 massB=0.47
p1,334,33,risk,0,142,446,0.53,1.6646,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.62796,0.92004,0,massA=0.342 massB=0.578
p1,169,16,risk,0,139,234,0.6,1.0101,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.33285,0.69049,0,massA=0.23 massB=0.461
p1,346,34,risk,0,52,96,0.63,1.1631,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.84897,0.9724,0,massA=0.147 massB=0.826
p1,18,1,risk,0,58,116,0.66,1.32,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.72798,0.73877,0,massA=0.201 massB=0.538
p1,237,23,risk,0,91,626,0.23,1.5822,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.31742,0.92728,0,massA=0.294 massB=0.633
p1,339,33,risk,0,142,446,0.53,1.6646,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.27825,0.71324,0,massA=0.198 massB=0.515
p1,94,9,risk,0,49,153,0.26,0.8118,2,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.60581,0.94202,0,massA=0.371 massB=0.571
p1,158,15,risk,0,82,113,0.74,1.0198,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.83115,0.78476,0,massA=0.133 massB=0.652
p1,175,17,risk,0,117,362,0.42,1.2995,2,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.81522,0.90904,0,massA=0.741 massB=0.168
p1,183,18,risk,0,41,61,0.58,0.8629,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.63337,0.67624,0,massA=0.428 massB=0.248
p1,207,20,risk,0,186,266,0.63,0.901,3,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.53704,0.93677,0,massA=0.503 massB=0.434
p1,333,33,risk,0,142,446,0.53,1.6646,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.42247,0.67096,0,massA=0.283 massB=0.387
p1,316,31,risk,0,51,151,0.29,0.8586,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.62246,0.97116,0,massA=0.367 massB=0.605
p1,79,7,risk,0,63,98,0.64,0.9956,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.29746,0.68484,0,massA=0.204 massB=0.481
p1,150,15,risk,0,82,113,0.74,1.0198,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.85777,0.89873,0,massA=0.128 massB=0.771
p1,322,32,risk,0,131,236,0.57,1.0269,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.22272,0.72263,0,massA=0.562 massB=0.161
p1,239,23,risk,0,91,626,0.23,1.5822,4,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.20055,0.71037,0,massA=0.142 massB=0.568
p1,396,39,risk,0,178,567,0.32,1.0193,3,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.72643,0.96573,0,massA=0.264 massB=0.702
p1,142,14,risk,0,81,201,0.68,1.6874,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.27985,0.70495,0,massA=0.508 massB=0.197
p1,62,6,risk,0,94,101,0.71,0.7629,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.3558,0.7422,0,massA=0.478 massB=0.264
p1,263,26,risk,0,59,151,0.36,0.9214,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.42247,0.6938,0,massA=0.293 massB=0.401
p1,378,37,risk,0,151,252,0.68,1.1348,4,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.46491,0.66524,0,massA=0.356 massB=0.309
p1,160,16,risk,0,139,234,0.6,1.0101,0,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.75056,0.885,0,massA=0.221 massB=0.664
p1,383,38,risk,0,183,609,0.38,1.2646,1,False,A,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.48629,0.65421,0,massA=0.318 massB=0.336
p1,112,11,risk,0,54,68,0.81,1.02,1,True,B,allenai/OLMo-2-1124-7B-SFT,fewshot,riskneutral,0.41302,0.7747,0,massA=0.455 massB=0.32
