instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note,latency_s,ts_utc
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,simulated-logprob,fewshot,0.80887,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,simulated-logprob,fewshot,0.86092,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,simulated-logprob,fewshot,0.33305,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,simulated-logprob,fewshot,0.48785,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,simulated-logprob,fewshot,0.59435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,simulated-logprob,fewshot,0.80017,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,236,23,risk,0,91,626,0.23,1.5822,3,True,B,simulated-logprob,fewshot,0.40644,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,206,20,risk,0,186,266,0.63,0.901,3,True,B,simulated-logprob,fewshot,0.49435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,68,6,risk,0,94,101,0.71,0.7629,4,True,B,simulated-logprob,fewshot,0.32601,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,337,33,risk,0,142,446,0.53,1.6646,3,False,A,simulated-logprob,fewshot,0.80887,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,44,4,risk,0,29,71,0.55,1.3466,2,True,B,simulated-logprob,fewshot,0.73896,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,188,18,risk,0,41,61,0.58,0.8629,4,True,B,simulated-logprob,fewshot,0.42927,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,354,35,risk,0,91,133,0.68,0.9938,2,True,B,simulated-logprob,fewshot,0.60854,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,210,21,risk,0,106,206,0.73,1.4187,0,True,B,simulated-logprob,fewshot,0.85551,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,60,6,risk,0,94,101,0.71,0.7629,0,True,B,simulated-logprob,fewshot,0.32601,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,70,7,risk,0,63,98,0.64,0.9956,0,True,B,simulated-logprob,fewshot,0.59435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,273,27,risk,0,166,433,0.53,1.3825,1,False,A,simulated-logprob,fewshot,0.73404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,174,17,risk,0,117,362,0.42,1.2995,2,True,B,simulated-logprob,fewshot,0.57566,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,100,10,risk,0,111,278,0.58,1.4526,0,True,B,simulated-logprob,fewshot,0.7971,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,176,17,risk,0,117,362,0.42,1.2995,3,True,B,simulated-logprob,fewshot,0.57566,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,272,27,risk,0,166,433,0.53,1.3825,1,True,B,simulated-logprob,fewshot,0.73404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,149,14,risk,0,81,201,0.68,1.6874,4,False,A,simulated-logprob,fewshot,0.89474,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,294,29,risk,0,79,81,0.83,0.851,2,True,B,simulated-logprob,fewshot,0.42404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,385,38,risk,0,183,609,0.38,1.2646,2,False,A,simulated-logprob,fewshot,0.50848,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,64,6,risk,0,94,101,0.71,0.7629,2,True,B,simulated-logprob,fewshot,0.32601,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,241,24,risk,0,168,214,0.76,0.9681,0,False,A,simulated-logprob,fewshot,0.59443,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,37,3,risk,0,46,158,0.33,1.1335,3,False,A,simulated-logprob,fewshot,0.39304,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,198,19,risk,0,64,122,0.49,0.9341,4,True,B,simulated-logprob,fewshot,0.43646,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,216,21,risk,0,106,206,0.73,1.4187,3,True,B,simulated-logprob,fewshot,0.85551,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,360,36,risk,0,98,227,0.47,1.0887,0,True,B,simulated-logprob,fewshot,0.5295,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,254,25,risk,0,124,207,0.76,1.2687,2,True,B,simulated-logprob,fewshot,0.81014,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,258,25,risk,0,124,207,0.76,1.2687,4,True,B,simulated-logprob,fewshot,0.81014,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,377,37,risk,0,151,252,0.68,1.1348,3,False,A,simulated-logprob,fewshot,0.71843,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,120,12,risk,0,164,541,0.38,1.2535,0,True,B,simulated-logprob,fewshot,0.50399,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,389,38,risk,0,183,609,0.38,1.2646,4,False,A,simulated-logprob,fewshot,0.50848,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,281,28,risk,0,132,181,0.76,1.0421,0,False,A,simulated-logprob,fewshot,0.66746,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,260,26,risk,0,59,151,0.36,0.9214,0,True,B,simulated-logprob,fewshot,0.3154,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,146,14,risk,0,81,201,0.68,1.6874,3,True,B,simulated-logprob,fewshot,0.89474,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,179,17,risk,0,117,362,0.42,1.2995,4,False,A,simulated-logprob,fewshot,0.57566,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,271,27,risk,0,166,433,0.53,1.3825,0,False,A,simulated-logprob,fewshot,0.73404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,264,26,risk,0,59,151,0.36,0.9214,2,True,B,simulated-logprob,fewshot,0.3154,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,290,29,risk,0,79,81,0.83,0.851,0,True,B,simulated-logprob,fewshot,0.42404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,343,34,risk,0,52,96,0.63,1.1631,1,False,A,simulated-logprob,fewshot,0.71149,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,286,28,risk,0,132,181,0.76,1.0421,3,True,B,simulated-logprob,fewshot,0.66746,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,51,5,risk,0,162,381,0.46,1.0819,0,False,A,simulated-logprob,fewshot,0.51439,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,252,25,risk,0,124,207,0.76,1.2687,1,True,B,simulated-logprob,fewshot,0.81014,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,107,10,risk,0,111,278,0.58,1.4526,3,False,A,simulated-logprob,fewshot,0.7971,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,173,17,risk,0,117,362,0.42,1.2995,1,False,A,simulated-logprob,fewshot,0.57566,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,382,38,risk,0,183,609,0.38,1.2646,1,True,B,simulated-logprob,fewshot,0.50848,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,59,5,risk,0,162,381,0.46,1.0819,4,False,A,simulated-logprob,fewshot,0.51439,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,330,33,risk,0,142,446,0.53,1.6646,0,True,B,simulated-logprob,fewshot,0.80887,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,317,31,risk,0,51,151,0.29,0.8586,3,False,A,simulated-logprob,fewshot,0.23776,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,99,9,risk,0,49,153,0.26,0.8118,4,False,A,simulated-logprob,fewshot,0.20595,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,308,30,risk,0,149,447,0.26,0.78,4,True,B,simulated-logprob,fewshot,0.19206,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,54,5,risk,0,162,381,0.46,1.0819,2,True,B,simulated-logprob,fewshot,0.51439,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,350,35,risk,0,91,133,0.68,0.9938,0,True,B,simulated-logprob,fewshot,0.60854,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,194,19,risk,0,64,122,0.49,0.9341,2,True,B,simulated-logprob,fewshot,0.43646,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,39,3,risk,0,46,158,0.33,1.1335,4,False,A,simulated-logprob,fewshot,0.39304,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,230,23,risk,0,91,626,0.23,1.5822,0,True,B,simulated-logprob,fewshot,0.40644,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,53,5,risk,0,162,381,0.46,1.0819,1,False,A,simulated-logprob,fewshot,0.51439,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,250,25,risk,0,124,207,0.76,1.2687,0,True,B,simulated-logprob,fewshot,0.81014,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,90,9,risk,0,49,153,0.26,0.8118,0,True,B,simulated-logprob,fewshot,0.20595,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,48,4,risk,0,29,71,0.55,1.3466,4,True,B,simulated-logprob,fewshot,0.73896,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,251,25,risk,0,124,207,0.76,1.2687,0,False,A,simulated-logprob,fewshot,0.81014,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,102,10,risk,0,111,278,0.58,1.4526,1,True,B,simulated-logprob,fewshot,0.7971,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,328,32,risk,0,131,236,0.57,1.0269,4,True,B,simulated-logprob,fewshot,0.57823,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,109,10,risk,0,111,278,0.58,1.4526,4,False,A,simulated-logprob,fewshot,0.7971,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,261,26,risk,0,59,151,0.36,0.9214,0,False,A,simulated-logprob,fewshot,0.3154,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,220,22,risk,0,81,163,0.72,1.4489,0,True,B,simulated-logprob,fewshot,0.86092,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,323,32,risk,0,131,236,0.57,1.0269,1,False,A,simulated-logprob,fewshot,0.57823,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,374,37,risk,0,151,252,0.68,1.1348,2,True,B,simulated-logprob,fewshot,0.71843,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,284,28,risk,0,132,181,0.76,1.0421,2,True,B,simulated-logprob,fewshot,0.66746,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,10,1,risk,0,58,116,0.66,1.32,0,True,B,simulated-logprob,fewshot,0.80017,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,224,22,risk,0,81,163,0.72,1.4489,2,True,B,simulated-logprob,fewshot,0.86092,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,292,29,risk,0,79,81,0.83,0.851,1,True,B,simulated-logprob,fewshot,0.42404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,235,23,risk,0,91,626,0.23,1.5822,2,False,A,simulated-logprob,fewshot,0.40644,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,182,18,risk,0,41,61,0.58,0.8629,1,True,B,simulated-logprob,fewshot,0.42927,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,299,29,risk,0,79,81,0.83,0.851,4,False,A,simulated-logprob,fewshot,0.42404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,196,19,risk,0,64,122,0.49,0.9341,3,True,B,simulated-logprob,fewshot,0.43646,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,291,29,risk,0,79,81,0.83,0.851,0,False,A,simulated-logprob,fewshot,0.42404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,353,35,risk,0,91,133,0.68,0.9938,1,False,A,simulated-logprob,fewshot,0.60854,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,166,16,risk,0,139,234,0.6,1.0101,3,True,B,simulated-logprob,fewshot,0.58509,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,104,10,risk,0,111,278,0.58,1.4526,2,True,B,simulated-logprob,fewshot,0.7971,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,380,38,risk,0,183,609,0.38,1.2646,0,True,B,simulated-logprob,fewshot,0.50848,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,27,2,risk,0,162,661,0.26,1.0609,3,False,A,simulated-logprob,fewshot,0.30303,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,114,11,risk,0,54,68,0.81,1.02,2,True,B,simulated-logprob,fewshot,0.64408,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,336,33,risk,0,142,446,0.53,1.6646,3,True,B,simulated-logprob,fewshot,0.80887,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,138,13,risk,0,72,88,0.64,0.7822,4,True,B,simulated-logprob,fewshot,0.35109,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,115,11,risk,0,54,68,0.81,1.02,2,False,A,simulated-logprob,fewshot,0.64408,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,26,2,risk,0,162,661,0.26,1.0609,3,True,B,simulated-logprob,fewshot,0.30303,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,262,26,risk,0,59,151,0.36,0.9214,1,True,B,simulated-logprob,fewshot,0.3154,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,52,5,risk,0,162,381,0.46,1.0819,1,True,B,simulated-logprob,fewshot,0.51439,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,384,38,risk,0,183,609,0.38,1.2646,2,True,B,simulated-logprob,fewshot,0.50848,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,201,20,risk,0,186,266,0.63,0.901,0,False,A,simulated-logprob,fewshot,0.49435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,209,20,risk,0,186,266,0.63,0.901,4,False,A,simulated-logprob,fewshot,0.49435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,200,20,risk,0,186,266,0.63,0.901,0,True,B,simulated-logprob,fewshot,0.49435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,2,0,risk,0,186,984,0.26,1.3755,1,True,B,simulated-logprob,fewshot,0.39488,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,74,7,risk,0,63,98,0.64,0.9956,2,True,B,simulated-logprob,fewshot,0.59435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,296,29,risk,0,79,81,0.83,0.851,3,True,B,simulated-logprob,fewshot,0.42404,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,57,5,risk,0,162,381,0.46,1.0819,3,False,A,simulated-logprob,fewshot,0.51439,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,21,2,risk,0,162,661,0.26,1.0609,0,False,A,simulated-logprob,fewshot,0.30303,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,334,33,risk,0,142,446,0.53,1.6646,2,True,B,simulated-logprob,fewshot,0.80887,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,169,16,risk,0,139,234,0.6,1.0101,4,False,A,simulated-logprob,fewshot,0.58509,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,346,34,risk,0,52,96,0.63,1.1631,3,True,B,simulated-logprob,fewshot,0.71149,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,18,1,risk,0,58,116,0.66,1.32,4,True,B,simulated-logprob,fewshot,0.80017,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,237,23,risk,0,91,626,0.23,1.5822,3,False,A,simulated-logprob,fewshot,0.40644,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,339,33,risk,0,142,446,0.53,1.6646,4,False,A,simulated-logprob,fewshot,0.80887,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,94,9,risk,0,49,153,0.26,0.8118,2,True,B,simulated-logprob,fewshot,0.20595,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,158,15,risk,0,82,113,0.74,1.0198,4,True,B,simulated-logprob,fewshot,0.6456,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,175,17,risk,0,117,362,0.42,1.2995,2,False,A,simulated-logprob,fewshot,0.57566,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,183,18,risk,0,41,61,0.58,0.8629,1,False,A,simulated-logprob,fewshot,0.42927,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,207,20,risk,0,186,266,0.63,0.901,3,False,A,simulated-logprob,fewshot,0.49435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,333,33,risk,0,142,446,0.53,1.6646,1,False,A,simulated-logprob,fewshot,0.80887,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,316,31,risk,0,51,151,0.29,0.8586,3,True,B,simulated-logprob,fewshot,0.23776,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,79,7,risk,0,63,98,0.64,0.9956,4,False,A,simulated-logprob,fewshot,0.59435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,150,15,risk,0,82,113,0.74,1.0198,0,True,B,simulated-logprob,fewshot,0.6456,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,322,32,risk,0,131,236,0.57,1.0269,1,True,B,simulated-logprob,fewshot,0.57823,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,239,23,risk,0,91,626,0.23,1.5822,4,False,A,simulated-logprob,fewshot,0.40644,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,396,39,risk,0,178,567,0.32,1.0193,3,True,B,simulated-logprob,fewshot,0.33305,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,142,14,risk,0,81,201,0.68,1.6874,1,True,B,simulated-logprob,fewshot,0.89474,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,62,6,risk,0,94,101,0.71,0.7629,1,True,B,simulated-logprob,fewshot,0.32601,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,263,26,risk,0,59,151,0.36,0.9214,1,False,A,simulated-logprob,fewshot,0.3154,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,378,37,risk,0,151,252,0.68,1.1348,4,True,B,simulated-logprob,fewshot,0.71843,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,160,16,risk,0,139,234,0.6,1.0101,0,True,B,simulated-logprob,fewshot,0.58509,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,383,38,risk,0,183,609,0.38,1.2646,1,False,A,simulated-logprob,fewshot,0.50848,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,112,11,risk,0,54,68,0.81,1.02,1,True,B,simulated-logprob,fewshot,0.64408,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,156,15,risk,0,82,113,0.74,1.0198,3,True,B,simulated-logprob,fewshot,0.6456,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,38,3,risk,0,46,158,0.33,1.1335,4,True,B,simulated-logprob,fewshot,0.39304,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,128,12,risk,0,164,541,0.38,1.2535,4,True,B,simulated-logprob,fewshot,0.50399,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,217,21,risk,0,106,206,0.73,1.4187,3,False,A,simulated-logprob,fewshot,0.85551,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,318,31,risk,0,51,151,0.29,0.8586,4,True,B,simulated-logprob,fewshot,0.23776,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,55,5,risk,0,162,381,0.46,1.0819,2,False,A,simulated-logprob,fewshot,0.51439,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,96,9,risk,0,49,153,0.26,0.8118,3,True,B,simulated-logprob,fewshot,0.20595,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,8,0,risk,0,186,984,0.26,1.3755,4,True,B,simulated-logprob,fewshot,0.39488,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,132,13,risk,0,72,88,0.64,0.7822,1,True,B,simulated-logprob,fewshot,0.35109,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,340,34,risk,0,52,96,0.63,1.1631,0,True,B,simulated-logprob,fewshot,0.71149,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,28,2,risk,0,162,661,0.26,1.0609,4,True,B,simulated-logprob,fewshot,0.30303,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,77,7,risk,0,63,98,0.64,0.9956,3,False,A,simulated-logprob,fewshot,0.59435,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,349,34,risk,0,52,96,0.63,1.1631,4,False,A,simulated-logprob,fewshot,0.71149,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,371,37,risk,0,151,252,0.68,1.1348,0,False,A,simulated-logprob,fewshot,0.71843,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,0,0,risk,0,186,984,0.26,1.3755,0,True,B,simulated-logprob,fewshot,0.39488,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,111,11,risk,0,54,68,0.81,1.02,0,False,A,simulated-logprob,fewshot,0.64408,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,238,23,risk,0,91,626,0.23,1.5822,4,True,B,simulated-logprob,fewshot,0.40644,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
p1,7,0,risk,0,186,984,0.26,1.3755,3,False,A,simulated-logprob,fewshot,0.39488,0.9,0,simulated,0.0,2026-07-06T14:45:33+00:00
